Transaction_ID,Date,Customer_Name,Customer_ID,Product,Customer_Category,Season,Basket_Size,Product_Category,Category,Sub_Category,Payment_Method,City,Store_Type,Discount_Applied,Promotion,Unit_Price,Cost_Per_Item,Profit,Total_Items
1000000011,30-03-2023 19:26,Jeremiah White,38005,"['Tea', 'Paper Towels', 'Spinach']",Young Adult,Fall,3,Tea,Beverages,Tea,Mobile Payment,New York,Specialty Store,FALSE,Discount on Selected Items,4.55,3.15,9.85,7
1000000012,27-05-2023 15:52,Sheila Mcgee,245232,"['Salmon', 'Shaving Cream']",Student,Summer,2,Salmon,Meat & Seafood,Salmon,Debit Card,New York,Pharmacy,FALSE,Discount on Selected Items,4.42,2.87,13.92,9
1000000013,02-04-2023 09:24,Allen Miles,588347,"['Trash Bags', 'Apple', 'Mop', 'Hair Gel']",Retiree,Winter,4,Trash Bags,Cleaning Supplies,Trash Bags,Mobile Payment,Seattle,Warehouse Club,FALSE,BOGO (Buy One Get One),2.5,1.16,9.39,7
1000000014,09-04-2020 04:31,Mark Howard,639573,"['Razors', 'Laundry Detergent', 'Beef']",Retiree,Spring,3,Razors,Other,Razors,Credit Card,San Francisco,Warehouse Club,TRUE,None,33.64,15.29,18.35,1
1000000015,01-01-2021 04:29,Jesse Henderson,119040,"['Cereal', 'Vinegar', 'Bath Towels']",Retiree,Winter,3,Cereal,Grains & Bakery,Cereal,Mobile Payment,San Francisco,Convenience Store,FALSE,BOGO (Buy One Get One),4.22,1.92,16.12,7
1000000016,15-10-2021 13:24,Eric Wall,710278,"['Air Freshener', 'Feminine Hygiene Products']",Homemaker,Spring,2,Air Freshener,Home & Misc,Air Freshener,Mobile Payment,Miami,Specialty Store,TRUE,None,19.94,9.8,50.72,5
1000000017,16-09-2021 09:28,Vanessa Peck,507535,"['Power Strips', 'Honey', 'Ketchup', 'Tea', 'Shampoo']",Senior Citizen,Fall,5,Power Strips,Household Electronics,Power Strips,Credit Card,San Francisco,Department Store,FALSE,None,1.95,1.09,6.91,8
1000000018,18-07-2022 11:33,Dominique Stout,198378,"['Mustard', 'Dustpan']",Professional,Fall,2,Mustard,Condiments,Mustard,Mobile Payment,New York,Warehouse Club,FALSE,BOGO (Buy One Get One),32.76,17.35,46.23,3
1000000019,31-01-2021 07:52,Charles Brooks,721843,['Coffee'],Homemaker,Winter,1,Coffee,Beverages,Coffee,Debit Card,Chicago,Department Store,TRUE,Discount on Selected Items,13.82,6.74,49.61,7
1000000020,31-10-2021 07:46,Angela Jones,38208,"['Pancake Mix', 'Vacuum Cleaner']",Teenager,Winter,2,Pancake Mix,Grains & Bakery,Pancake Mix,Cash,Houston,Pharmacy,FALSE,Discount on Selected Items,11.98,6.99,34.92,7
1000000021,30-12-2022 20:03,John Roberts,283350,"['Coffee', 'Shaving Cream']",Retiree,Summer,2,Coffee,Beverages,Coffee,Credit Card,Miami,Department Store,FALSE,BOGO (Buy One Get One),39.93,17.64,22.29,1
1000000022,08-06-2021 10:28,Nicole White,780217,"['Shrimp', 'Iron', 'Cleaning Spray', 'Toilet Paper', 'Peanut Butter']",Retiree,Spring,5,Shrimp,Meat & Seafood,Shrimp,Mobile Payment,New York,Warehouse Club,TRUE,BOGO (Buy One Get One),8.91,4.34,18.25,4
1000000023,03-01-2020 23:24,Don Harris,728668,"['Dishware', 'Pickles']",Retiree,Spring,2,Dishware,Other,Dishware,Cash,San Francisco,Department Store,FALSE,BOGO (Buy One Get One),2.79,1.42,9.59,7
1000000024,27-02-2023 16:46,Hannah Rowland,942483,"['Sponges', 'Vacuum Cleaner', 'Iron']",Student,Winter,3,Sponges,Cleaning Supplies,Sponges,Debit Card,Dallas,Pharmacy,FALSE,None,6.01,3.22,11.13,4
1000000025,14-02-2020 13:19,Jessica Gonzalez,996284,"['Broom', 'Cereal']",Professional,Fall,2,Broom,Cleaning Equipment,Broom,Credit Card,New York,Convenience Store,FALSE,BOGO (Buy One Get One),0.78,0.5,2.85,10
1000000026,21-09-2020 10:34,Christina Smith,594084,"['Garden Hose', 'Trash Cans']",Senior Citizen,Winter,2,Garden Hose,Garden Tools,Garden Hose,Debit Card,Dallas,Warehouse Club,FALSE,Discount on Selected Items,8.24,3.79,26.71,6
1000000027,26-03-2020 22:08,Latoya Allen,840013,"['Ketchup', 'Trash Cans', 'Toothbrush']",Professional,Spring,3,Ketchup,Condiments,Ketchup,Mobile Payment,Boston,Specialty Store,FALSE,None,2.94,1.63,13.09,10
1000000028,13-08-2022 01:26,Clayton Roth,709720,"['Tomatoes', 'Salmon']",Teenager,Fall,2,Tomatoes,Vegetables,Tomatoes,Credit Card,San Francisco,Specialty Store,TRUE,None,3.01,1.74,8.9,7
1000000029,27-02-2020 10:23,Dennis Alvarez,280799,"['Tea', 'Salmon', 'Bath Towels', 'Toothpaste']",Teenager,Summer,4,Tea,Beverages,Tea,Mobile Payment,Houston,Convenience Store,TRUE,Discount on Selected Items,10.77,4.46,44.18,7
1000000030,08-01-2023 22:59,Jose Hill,57455,['Olive Oil'],Senior Citizen,Spring,1,Olive Oil,Pantry & Snacks,Olive Oil,Debit Card,Boston,Specialty Store,TRUE,None,73.17,42.6,30.57,1
1000000032,04-04-2023 10:57,Robert Gilbert DDS,142576,"['Apple', 'Butter']",Middle-Aged,Spring,2,Apple,Fruits,Apple,Debit Card,Chicago,Supermarket,FALSE,None,5.91,2.48,24.03,7
1000000033,26-03-2022 19:18,Thomas Oliver,523619,"['Broom', 'Chicken', 'Spinach', 'Broom']",Homemaker,Spring,4,Broom,Cleaning Equipment,Broom,Credit Card,Chicago,Specialty Store,TRUE,Discount on Selected Items,3.33,2.28,8.41,8
1000000034,07-02-2023 14:09,Stacy Owen,516159,"['Yogurt', 'Ice Cream', 'Insect Repellent']",Teenager,Summer,3,Yogurt,Dairy,Yogurt,Credit Card,San Francisco,Supermarket,TRUE,BOGO (Buy One Get One),6.85,4.73,10.63,5
1000000035,12-10-2022 11:57,Ann Kane,664568,"['Onions', 'Dish Soap']",Young Adult,Spring,2,Onions,Vegetables,Onions,Credit Card,Miami,Warehouse Club,FALSE,None,6.23,4,22.28,10
1000000036,16-10-2020 09:05,Mr. John Long,81237,"['Tomatoes', 'Mustard', 'Apple', 'Hair Gel']",Middle-Aged,Winter,4,Tomatoes,Vegetables,Tomatoes,Debit Card,Chicago,Convenience Store,TRUE,Discount on Selected Items,4.78,2.35,9.72,4
1000000037,31-05-2020 05:35,Annette Robinson,523471,['Garden Hose'],Homemaker,Fall,1,Garden Hose,Garden Tools,Garden Hose,Mobile Payment,Los Angeles,Warehouse Club,TRUE,BOGO (Buy One Get One),6.44,2.76,14.7,4
1000000038,11-07-2020 22:15,Kimberly Baldwin,432697,"['Shower Gel', 'Dish Soap', 'Plant Fertilizer', 'Garden Hose', 'Tuna']",Student,Fall,5,Shower Gel,Personal Care,Shower Gel,Credit Card,New York,Convenience Store,FALSE,None,8.79,5.32,24.3,7
1000000039,11-07-2023 11:36,Donald Bradford,344961,"['Potatoes', 'Air Freshener', 'Sponges', 'Onions', 'Laundry Detergent']",Young Adult,Spring,5,Potatoes,Vegetables,Potatoes,Cash,Dallas,Supermarket,FALSE,None,7.82,4.16,18.29,5
1000000040,31-05-2022 17:09,Mike Gilbert,545338,['Feminine Hygiene Products'],Professional,Winter,1,Feminine Hygiene Products,Personal Care,Feminine Hygiene Products,Credit Card,Atlanta,Department Store,FALSE,None,3.24,1.42,7.31,4
1000000041,01-07-2023 20:11,Rebecca Morton,259378,"['Shaving Cream', 'Butter']",Retiree,Summer,2,Shaving Cream,Personal Care,Shaving Cream,Debit Card,Miami,Specialty Store,TRUE,Discount on Selected Items,7.12,3.91,25.73,8
1000000042,13-11-2023 12:48,Nicole Hernandez,705963,"['Lawn Mower', 'Eggs', 'Dustpan', 'Peanut Butter', 'Beef']",Professional,Spring,5,Lawn Mower,Garden Tools,Lawn Mower,Cash,Boston,Specialty Store,TRUE,Discount on Selected Items,11.09,4.55,58.83,9
1000000043,12-10-2020 12:39,Paige White,707922,"['Dustpan', 'BBQ Sauce', 'Toothbrush', 'Deodorant', 'Dish Soap']",Student,Winter,5,Dustpan,Cleaning Equipment,Dustpan,Cash,Atlanta,Specialty Store,FALSE,Discount on Selected Items,3.73,2.51,9.76,8
1000000044,21-09-2022 05:09,Mr. Lance Perkins,618869,"['Bread', 'Dustpan', 'Ketchup', 'Ironing Board']",Middle-Aged,Winter,4,Bread,Grains & Bakery,Bread,Cash,Atlanta,Department Store,FALSE,None,12.85,6.14,47,7
1000000045,28-10-2022 18:17,Kelly Foley,917438,['Soap'],Professional,Spring,1,Soap,Personal Care,Soap,Credit Card,Chicago,Convenience Store,FALSE,Discount on Selected Items,41.78,25.01,33.52,2
1000000047,06-02-2023 01:31,Roberto Franklin,374619,"['Pasta', 'Olive Oil']",Retiree,Summer,2,Pasta,Grains & Bakery,Pasta,Mobile Payment,Los Angeles,Convenience Store,TRUE,None,10.87,6.04,33.78,7
1000000049,24-06-2021 14:01,Katherine Luna,76038,['Tea'],Retiree,Winter,1,Tea,Beverages,Tea,Cash,Houston,Warehouse Club,FALSE,Discount on Selected Items,20.51,9.34,33.51,3
1000000050,10-04-2021 19:14,Ryan Hammond,971227,"['Hand Sanitizer', 'Plant Fertilizer', 'Baby Wipes', 'Hand Sanitizer', 'Power Strips']",Teenager,Summer,5,Hand Sanitizer,Home & Misc,Hand Sanitizer,Mobile Payment,San Francisco,Supermarket,FALSE,Discount on Selected Items,78.46,54.21,24.25,1
1000000051,18-09-2023 09:06,Valerie Johnson,916818,['Bread'],Retiree,Fall,1,Bread,Grains & Bakery,Bread,Mobile Payment,Miami,Pharmacy,TRUE,None,5.52,3.49,18.26,9
1000000052,10-05-2020 17:02,Jennifer Mitchell,739752,"['Vacuum Cleaner', 'Apple', 'Shrimp', 'Trash Bags', 'Carrots']",Senior Citizen,Summer,5,Vacuum Cleaner,Household Electronics,Vacuum Cleaner,Mobile Payment,Boston,Convenience Store,FALSE,BOGO (Buy One Get One),8.7,5.93,27.69,10
1000000053,30-12-2020 14:17,Nathan Schwartz,157957,"['Shrimp', 'Cleaning Rags', 'Olive Oil', 'Soda']",Senior Citizen,Fall,4,Shrimp,Meat & Seafood,Shrimp,Cash,Houston,Warehouse Club,FALSE,BOGO (Buy One Get One),4.78,3.19,3.17,2
1000000054,02-03-2023 19:56,Rebecca Gilmore,663735,"['Olive Oil', 'Feminine Hygiene Products', 'Toothpaste', 'Soap', 'Bath Towels']",Retiree,Winter,5,Olive Oil,Pantry & Snacks,Olive Oil,Debit Card,Los Angeles,Specialty Store,FALSE,None,5.85,3.39,19.68,8
1000000055,23-06-2022 18:30,Todd Parrish,990207,['Peanut Butter'],Student,Fall,1,Peanut Butter,Pantry & Snacks,Peanut Butter,Mobile Payment,Seattle,Specialty Store,TRUE,Discount on Selected Items,3.7,2.5,8.37,7
1000000056,09-05-2022 08:42,Christopher Blake,809474,['Orange'],Young Adult,Winter,1,Orange,Fruits,Orange,Cash,Dallas,Warehouse Club,FALSE,BOGO (Buy One Get One),0.87,0.37,2.99,6
1000000057,23-11-2021 07:49,Marie Young,997998,"['Syrup', 'Tuna', 'Paper Towels', 'Toothpaste', 'Mustard']",Homemaker,Summer,5,Syrup,Pantry & Snacks,Syrup,Cash,Los Angeles,Pharmacy,TRUE,BOGO (Buy One Get One),4.24,1.95,6.88,3
1000000059,30-06-2020 00:58,Sharon Espinoza,17062,"['Dish Soap', 'Shower Gel', 'Lawn Mower', 'Dustpan', 'Toothpaste']",Professional,Winter,5,Dish Soap,Cleaning Supplies,Dish Soap,Debit Card,Atlanta,Specialty Store,TRUE,None,3.92,1.95,7.88,4
1000000060,11-11-2021 03:45,Rachel Rasmussen,794644,"['Dustpan', 'Bath Towels', 'Pickles', 'Sponges']",Young Adult,Fall,4,Dustpan,Cleaning Equipment,Dustpan,Credit Card,Seattle,Supermarket,TRUE,None,46.39,23.97,44.85,2
1000000061,28-10-2021 20:51,Thomas Lowery,152674,"['Milk', 'Tuna', 'Ketchup', 'Broom']",Senior Citizen,Winter,4,Milk,Other,Milk,Credit Card,Boston,Department Store,TRUE,BOGO (Buy One Get One),3.6,1.73,18.64,10
1000000062,23-06-2021 06:46,Richard Johnston,117624,"['Beef', 'Bread', 'Dustpan']",Professional,Winter,3,Beef,Meat & Seafood,Beef,Cash,Chicago,Specialty Store,FALSE,BOGO (Buy One Get One),17.72,11.49,31.13,5
1000000063,24-08-2023 05:20,Rebecca Vasquez,212450,"['Pancake Mix', 'Dustpan', 'Laundry Detergent', 'Garden Hose']",Professional,Summer,4,Pancake Mix,Grains & Bakery,Pancake Mix,Mobile Payment,Houston,Department Store,TRUE,BOGO (Buy One Get One),11.15,5.65,32.97,6
1000000064,28-06-2021 06:41,Samuel Mays,721631,"['Cereal Bars', 'Air Freshener', 'Honey', 'Laundry Detergent']",Young Adult,Winter,4,Cereal Bars,Grains & Bakery,Cereal Bars,Cash,San Francisco,Department Store,TRUE,Discount on Selected Items,12.45,6.03,19.26,3
1000000065,14-08-2023 13:19,Karen Williams,675241,"['Banana', 'Garden Hose', 'Extension Cords', 'Toothpaste', 'Syrup']",Young Adult,Spring,5,Banana,Fruits,Banana,Debit Card,New York,Department Store,FALSE,BOGO (Buy One Get One),10.06,5.66,26.39,6
1000000066,08-04-2022 08:49,Ian Murphy,278365,['Shrimp'],Homemaker,Winter,1,Shrimp,Meat & Seafood,Shrimp,Credit Card,Miami,Department Store,TRUE,None,6.43,2.84,28.68,8
1000000067,04-04-2020 01:57,Elizabeth Li,898105,"['Broom', 'Pickles', 'Cleaning Rags']",Retiree,Spring,3,Broom,Cleaning Equipment,Broom,Mobile Payment,Miami,Specialty Store,TRUE,None,54.04,34.62,19.42,1
1000000068,30-10-2021 21:16,Brenda Chase,547909,"['Peanut Butter', 'Lawn Mower', 'Syrup', 'Chicken', 'Toothpaste']",Teenager,Fall,5,Peanut Butter,Pantry & Snacks,Peanut Butter,Cash,Dallas,Department Store,TRUE,None,22.48,9.49,38.95,3
1000000069,19-08-2022 07:26,Anthony Miranda,239175,"['Peanut Butter', 'Razors']",Retiree,Summer,2,Peanut Butter,Pantry & Snacks,Peanut Butter,Cash,Seattle,Warehouse Club,FALSE,BOGO (Buy One Get One),6.1,4.25,14.84,8
1000000070,21-09-2020 09:18,Patricia Adams,838883,"['Mop', 'Laundry Detergent', 'Vacuum Cleaner']",Senior Citizen,Fall,3,Mop,Cleaning Equipment,Mop,Credit Card,Atlanta,Pharmacy,FALSE,Discount on Selected Items,2.43,1.53,7.15,8
1000000071,11-05-2020 12:03,Jacob Douglas,613492,"['Eggs', 'Shower Gel', 'Olive Oil']",Retiree,Spring,3,Eggs,Meat & Seafood,Eggs,Mobile Payment,Houston,Pharmacy,FALSE,Discount on Selected Items,12.73,5.85,6.88,1
1000000072,27-10-2022 03:15,Martin Gonzalez,975750,['Vinegar'],Student,Spring,1,Vinegar,Pantry & Snacks,Vinegar,Mobile Payment,Los Angeles,Specialty Store,FALSE,None,15.48,6.22,46.32,5
1000000073,13-06-2021 14:25,Sherry Nunez,60431,"['Shaving Cream', 'Apple', 'Pickles']",Homemaker,Summer,3,Shaving Cream,Personal Care,Shaving Cream,Credit Card,Miami,Supermarket,TRUE,None,19.63,12.65,27.9,4
1000000074,16-03-2020 13:50,Joshua Livingston,344009,"['Canned Soup', 'Tea']",Middle-Aged,Spring,2,Canned Soup,Pantry & Snacks,Canned Soup,Mobile Payment,Dallas,Supermarket,TRUE,Discount on Selected Items,8.45,5.17,6.56,2
1000000075,28-05-2023 19:43,Kimberly Morton,425387,"['Syrup', 'Salmon']",Teenager,Summer,2,Syrup,Pantry & Snacks,Syrup,Debit Card,Seattle,Convenience Store,FALSE,Discount on Selected Items,40.11,24.82,15.29,1
1000000078,06-01-2021 11:48,Alfred Schneider,392128,"['Light Bulbs', 'Tissues']",Homemaker,Fall,2,Light Bulbs,Household Electronics,Light Bulbs,Debit Card,Dallas,Supermarket,FALSE,None,10.31,5.23,20.31,4
1000000080,16-05-2020 23:24,Matthew Henderson,821235,"['Mop', 'Jam', 'Cheese', 'Hand Sanitizer']",Teenager,Summer,4,Mop,Cleaning Equipment,Mop,Mobile Payment,Miami,Convenience Store,TRUE,Discount on Selected Items,65.96,43.46,22.5,1
1000000081,10-05-2022 23:55,Christina Hoover,712757,"['Diapers', 'Light Bulbs', 'Soda', 'Toothpaste']",Homemaker,Winter,4,Diapers,Baby Care,Diapers,Credit Card,New York,Warehouse Club,TRUE,Discount on Selected Items,20.19,11.85,33.35,4
1000000082,12-09-2021 13:17,Paul Tate,892804,"['Light Bulbs', 'Hair Gel', 'Mustard', 'Iron']",Retiree,Winter,4,Light Bulbs,Household Electronics,Light Bulbs,Debit Card,New York,Specialty Store,TRUE,BOGO (Buy One Get One),7.57,3.78,34.09,9
1000000083,10-09-2020 19:56,Melissa Rose,256147,"['Hand Sanitizer', 'Dish Soap', 'Deodorant', 'Cereal']",Teenager,Spring,4,Hand Sanitizer,Home & Misc,Hand Sanitizer,Debit Card,Seattle,Pharmacy,FALSE,Discount on Selected Items,2.02,0.85,9.39,8
1000000084,30-05-2022 10:26,Brittany Simmons,767048,"['Ketchup', 'Toothpaste']",Student,Winter,2,Ketchup,Condiments,Ketchup,Mobile Payment,Chicago,Supermarket,FALSE,Discount on Selected Items,17.91,8.84,45.38,5
1000000085,28-10-2020 23:16,Henry Kirk,193643,"['Toothpaste', 'Dishware', 'Bread', 'Eggs']",Student,Winter,4,Toothpaste,Personal Care,Toothpaste,Credit Card,Dallas,Supermarket,FALSE,None,10.99,5.47,27.6,5
1000000086,22-09-2020 03:20,James Richardson,93748,"['Iron', 'Plant Fertilizer', 'Eggs', 'Pickles']",Retiree,Fall,4,Iron,Household Electronics,Iron,Cash,Seattle,Specialty Store,FALSE,None,93.74,58.01,35.73,1
1000000087,03-09-2021 01:57,Keith Rodriguez,16566,"['Air Freshener', 'Chicken', 'Shaving Cream']",Retiree,Spring,3,Air Freshener,Home & Misc,Air Freshener,Cash,Chicago,Specialty Store,TRUE,None,6.79,4.01,27.74,10
1000000088,23-04-2020 04:16,Marie Owen,936216,"['Plant Fertilizer', 'Tuna', 'Orange']",Middle-Aged,Winter,3,Plant Fertilizer,Garden Tools,Plant Fertilizer,Cash,Seattle,Department Store,TRUE,Discount on Selected Items,1.69,1.13,2.82,5
1000000089,23-03-2021 19:58,James Adams,445286,['Mop'],Senior Citizen,Summer,1,Mop,Cleaning Equipment,Mop,Credit Card,New York,Pharmacy,TRUE,BOGO (Buy One Get One),5.72,3.1,20.97,8
1000000090,18-11-2023 20:40,Troy Durham,571570,['Baby Wipes'],Middle-Aged,Fall,1,Baby Wipes,Baby Care,Baby Wipes,Debit Card,Los Angeles,Convenience Store,FALSE,None,4.87,2.12,19.23,7
1000000091,03-04-2023 21:35,Dr. Adam Chan,892664,"['Beef', 'Cleaning Spray', 'Sponges']",Professional,Winter,3,Beef,Meat & Seafood,Beef,Credit Card,Miami,Convenience Store,FALSE,Discount on Selected Items,41.48,25.47,16.01,1
1000000092,08-02-2023 15:22,Mark Blankenship,775746,"['Tissues', 'Cheese', 'Toilet Paper', 'Cereal Bars', 'Cereal Bars']",Retiree,Spring,5,Tissues,Cleaning Supplies,Tissues,Mobile Payment,Miami,Pharmacy,TRUE,BOGO (Buy One Get One),9.35,5.87,13.9,4
1000000093,30-12-2023 04:04,Brooke Bennett,450885,"['Water', 'Olive Oil']",Young Adult,Summer,2,Water,Other,Water,Cash,Boston,Convenience Store,FALSE,BOGO (Buy One Get One),13.95,7.93,24.09,4
1000000094,10-04-2021 16:00,Dale Castaneda,927205,"['Banana', 'Toothpaste', 'Iron']",Middle-Aged,Summer,3,Banana,Fruits,Banana,Credit Card,Chicago,Pharmacy,FALSE,BOGO (Buy One Get One),90.7,57.26,33.44,1
1000000095,08-02-2022 17:55,Jim Wells,968846,"['Potatoes', 'Cleaning Spray']",Teenager,Summer,2,Potatoes,Vegetables,Potatoes,Mobile Payment,Chicago,Convenience Store,FALSE,BOGO (Buy One Get One),10.75,5.89,14.57,3
1000000096,11-05-2021 19:50,Michael Johnson,481733,"['Cleaning Rags', 'Syrup', 'BBQ Sauce']",Middle-Aged,Summer,3,Cleaning Rags,Cleaning Supplies,Cleaning Rags,Cash,Seattle,Pharmacy,FALSE,Discount on Selected Items,11.85,6.6,42,8
1000000097,29-07-2022 17:21,Lisa Delgado,702890,"['Dish Soap', 'Apple']",Professional,Winter,2,Dish Soap,Cleaning Supplies,Dish Soap,Mobile Payment,Miami,Warehouse Club,TRUE,None,10.04,5.3,23.68,5
1000000098,05-10-2022 18:14,Matthew Jackson,337629,"['Salmon', 'Dustpan', 'Yogurt']",Professional,Winter,3,Salmon,Meat & Seafood,Salmon,Mobile Payment,Miami,Specialty Store,FALSE,None,3.68,1.5,17.42,8
1000000099,01-08-2020 23:03,Nicholas Stephens,377803,['Eggs'],Middle-Aged,Fall,1,Eggs,Meat & Seafood,Eggs,Credit Card,Chicago,Convenience Store,FALSE,None,3.93,1.7,15.63,7
1000000100,15-01-2020 21:16,Jean Moore,76868,['Deodorant'],Teenager,Spring,1,Deodorant,Personal Care,Deodorant,Mobile Payment,Houston,Warehouse Club,FALSE,Discount on Selected Items,7.14,2.92,42.14,10
1000000101,15-03-2021 01:30,Daniel Johnson,827103,['Canned Soup'],Student,Fall,1,Canned Soup,Pantry & Snacks,Canned Soup,Mobile Payment,New York,Convenience Store,FALSE,None,1.03,0.61,3.36,8
1000000102,22-10-2022 16:34,Maria Murray MD,174228,"['Soda', 'Laundry Detergent', 'Vinegar', 'Toothbrush']",Senior Citizen,Winter,4,Soda,Pantry & Snacks,Soda,Credit Card,Los Angeles,Department Store,FALSE,None,92.73,45.84,46.89,1
1000000103,10-02-2020 01:48,Scott Hunter,721069,"['Bath Towels', 'Canned Soup']",Professional,Summer,2,Bath Towels,Home & Misc,Bath Towels,Cash,San Francisco,Convenience Store,FALSE,Discount on Selected Items,9.31,5.14,41.66,10
1000000104,27-12-2022 06:34,Sean Moore,117333,"['Air Freshener', 'Tuna', 'Onions', 'Baby Wipes']",Retiree,Fall,4,Air Freshener,Home & Misc,Air Freshener,Cash,New York,Department Store,TRUE,None,6.12,4.11,4.01,2
1000000105,21-04-2021 03:43,Alexander Harmon,286464,"['Trash Bags', 'Feminine Hygiene Products', 'Lawn Mower', 'Ice Cream']",Young Adult,Summer,4,Trash Bags,Cleaning Supplies,Trash Bags,Cash,Seattle,Supermarket,TRUE,Discount on Selected Items,2.01,0.96,10.57,10
1000000106,14-05-2022 12:06,David Rodriguez,286621,"['Tuna', 'Coffee', 'Trash Cans']",Retiree,Spring,3,Tuna,Meat & Seafood,Tuna,Mobile Payment,Dallas,Pharmacy,TRUE,BOGO (Buy One Get One),6.01,3.14,22.93,8
1000000107,30-01-2023 16:47,Linda Davis,364102,"['Sponges', 'Cleaning Rags', 'Razors', 'Tuna']",Retiree,Winter,4,Sponges,Cleaning Supplies,Sponges,Cash,Seattle,Pharmacy,FALSE,Discount on Selected Items,18.86,11.82,14.08,2
1000000108,11-10-2023 18:27,Linda Hayden,803820,"['Razors', 'Light Bulbs', 'Trash Cans', 'Honey']",Teenager,Spring,4,Razors,Other,Razors,Credit Card,Seattle,Supermarket,FALSE,BOGO (Buy One Get One),3.37,1.58,16.1,9
1000000109,24-09-2022 01:38,Connie Baker,503192,"['Mustard', 'Soap', 'Bread', 'Pasta', 'Shaving Cream']",Middle-Aged,Winter,5,Mustard,Condiments,Mustard,Mobile Payment,Seattle,Department Store,TRUE,Discount on Selected Items,8.27,3.5,33.4,7
1000000110,23-04-2021 13:09,Mr. Kenneth Watson,938162,"['Chips', 'Canned Soup', 'Cleaning Spray', 'Olive Oil']",Teenager,Winter,4,Chips,Pantry & Snacks,Chips,Cash,Miami,Department Store,TRUE,BOGO (Buy One Get One),1.92,0.93,7.87,8
1000000111,21-09-2022 12:12,Maurice Brown,439273,"['Air Freshener', 'Laundry Detergent', 'Cleaning Spray', 'Shaving Cream', 'Ketchup']",Teenager,Fall,5,Air Freshener,Home & Misc,Air Freshener,Cash,Miami,Specialty Store,TRUE,None,9.09,4.08,50.16,10
1000000112,11-01-2022 11:36,William Wood,461193,"['Tissues', 'Insect Repellent', 'Bread', 'Pancake Mix']",Student,Fall,4,Tissues,Cleaning Supplies,Tissues,Cash,Atlanta,Pharmacy,TRUE,None,31.67,21.5,20.34,2
1000000113,24-04-2023 01:06,Javier Ryan,140983,"['Feminine Hygiene Products', 'Pickles']",Teenager,Spring,2,Feminine Hygiene Products,Personal Care,Feminine Hygiene Products,Credit Card,Miami,Supermarket,FALSE,Discount on Selected Items,24.43,15.69,17.47,2
1000000114,31-07-2021 22:35,Mr. David Casey,401737,"['Pasta', 'Orange']",Teenager,Winter,2,Pasta,Grains & Bakery,Pasta,Debit Card,Los Angeles,Supermarket,TRUE,None,44.08,26.01,18.07,1
